timestamp,size,price,side

1664498446528,23.08637,19450.0,sell

1664503391326,30.59563,19475.93,sell

1664509628192,30.73799,19370.0,buy

1664522722077,27.99206,19590.0,sell

1664530697649,32.61355,19520.0,buy

1664531601393,26.27071,19500.0,sell

1664533294083,31.66078,19485.0,buy

1664533609200,23.50381,19480.0,buy

1664541006989,25.47544,19300.0,sell

1664541014890,51.1362,19200.0,sell

1664541119224,23.41549,19292.78,sell

1664545320126,24.57493,19300.0,buy

1664546256997,21.28594,19473.0,sell

1664546462352,31.33026,19470.0,buy

1664547135685,55.0886,19600.0,buy

1664548180271,24.66681,19596.56,sell

1664548471732,34.22846,19650.0,buy

1664548471864,20.02619,19655.0,buy

1664548562847,27.89748,19695.1,sell

1664548591482,20.96998,19750.0,buy

1664548661493,21.05049,19850.0,buy

1664548661508,37.47865,19878.19,buy

1664549167487,30.02118,19841.14,buy

1664549201158,33.79154,19887.65,buy

1664549201158,48.60786,19900.0,buy

1664549205109,70.59809,19900.0,sell

1664549207987,62.36488,19900.0,sell

1664549210618,54.21264,19900.0,sell

1664549213613,68.31861,19900.0,sell

1664549216309,46.41348,19900.0,sell

1664549221576,33.15413,19900.0,sell

1664549224413,53.03656,19900.0,sell

1664549227159,33.67406,19900.0,sell

1664549230958,93.63,19900.0,sell

1664549234436,45.498,19900.0,sell

1664549234437,77.59657,19900.0,sell

1664549237173,45.498,19900.0,sell

1664549237181,23.76539,19900.0,sell

1664549287205,22.1188,19940.0,buy

1664549294691,76.85859,19999.99,buy

1664549294691,194.29174,20000.0,buy

1664549295474,65.2806,20000.0,sell

1664549298226,22.45818,20000.0,sell

1664549298276,20.80354,20000.0,sell

1664549315242,28.7077,20000.0,sell

1664549317722,32.44782,20000.0,sell

1664549320273,25.684,20000.0,sell

1664549344636,25.684,20000.0,sell

1664549363348,29.58108,20000.0,sell

1664549366669,55.65861,20000.0,sell

1664549369242,48.07852,20000.0,sell

1664549373065,20.49372,20005.0,buy

1664549436509,22.35958,20000.0,sell

1664549856053,20.93908,20007.72,buy

1664550615397,88.60835,20100.0,sell

1664551061578,24.96538,20124.0,sell

1664552277864,21.27406,19910.0,buy

1664552786279,21.46707,19881.45,buy

1664552920465,57.2977,19920.0,sell

1664553805089,48.83851,19620.0,sell

1664564861501,25.69897,19699.0,sell

1664565080719,23.59137,19718.0,sell

1664567531799,52.76538,19500.0,sell

1664567534043,24.59924,19500.0,sell

1664567535114,29.4868,19480.01,sell

1664567708302,20.55188,19560.0,buy

1664568424915,29.02367,19450.0,buy

1664568480558,29.38344,19489.29,buy

1664569334535,30.37156,19490.0,sell

1664572312440,26.37094,19370.0,buy

1664572667156,25.87512,19350.0,sell

1664572746101,20.66364,19300.1,sell

1664572746103,53.43113,19300.0,sell

1664575734563,44.57541,19250.0,sell

1664575734563,31.07015,19250.0,buy

1664575734594,31.94762,19250.0,buy

1664577201634,22.63745,19345.01,sell

1664579865001,29.92649,19390.18,sell

1664581629722,22.07112,19427.09,sell

